Team,2005–06 Pts,2006–07 Pts,2007–08 Pts,Total Pts,Total Pld
Boca Juniors,83.0,83.0,70.0,236.0,114.0
Estudiantes (LP),52.0,81.0,69.0,202.0,114.0
River Plate,62.0,71.0,66.0,199.0,114.0
San Lorenzo,56.0,73.0,64.0,193.0,114.0
Vélez Sársfield,58.0,56.0,59.0,173.0,114.0
Lanús,58.0,59.0,56.0,173.0,114.0
Independiente,55.0,57.0,59.0,171.0,114.0
Tigre,0.0,0.0,56.0,56.0,38.0
Argentinos Juniors,50.0,46.0,61.0,157.0,114.0
Arsenal,44.0,62.0,51.0,157.0,114.0
Huracán,0.0,0.0,52.0,52.0,38.0
Banfield,59.0,39.0,54.0,152.0,114.0
Gimnasia y Esgrima (LP),69.0,40.0,36.0,145.0,114.0
Newell'sOldBoys,51.0,38.0,53.0,142.0,114.0
Rosario Central,45.0,52.0,41.0,138.0,114.0
Colón,46.0,46.0,45.0,137.0,114.0
Racing,44.0,49.0,40.0,133.0,114.0
Gimnasia y Esgrima (J),51.0,43.0,35.0,129.0,114.0
Olimpo,0.0,0.0,42.0,42.0,38.0
San Martín (SJ),0.0,0.0,35.0,35.0,38.0
