Rank 2014,Rank 2013,2009–10,2010–11,2011–12,2012–13,2013–14,Coeff.,Teams,CL places,EL places,Total
1.0,1,17.928,18.214,20.857,17.714,7.714,82.427,7/7,4.0,3.0,7.0
2.0,2,17.928,18.357,15.250,16.428,7.785,75.748,7/7,4.0,3.0,7.0
3.0,3,18.083,15.666,15.250,17.928,6.714,73.641,6/7,4.0,3.0,7.0
4.0,4,15.428,11.571,11.357,14.416,6.166,58.938,5/6,3.0,3.0,6.0
5.0,5,10.000,18.800,11.833,11.750,3.750,56.133,5/6,3.0,3.0,6.0
6.0,6,15.000,10.750,10.500,11.750,4.166,52.166,4/6,3.0,3.0,6.0
7.0,8,6.166,10.916,9.750,9.750,6.083,42.665,5/6,2.0,4.0,6.0
8.0,9,9.416,11.166,13.600,4.214,2.750,41.146,3/6,2.0,4.0,6.0
9.0,7,5.800,10.083,7.750,9.500,4.333,37.466,4/6,2.0,4.0,6.0
10.0,11,8.700,4.600,10.100,6.500,4.200,34.100,4/5,2.0,3.0,5.0
11.0,10,7.600,4.600,5.100,10.200,4.100,31.600,2/5,2.0,3.0,5.0
12.0,12,7.900,7.600,7.600,4.400,3.100,30.600,2/5,2.0,3.0,5.0
13.0,13,5.750,5.900,6.000,8.375,4.400,30.425,3/5,2.0,3.0,5.0
14.0,16,9.375,4.375,7.125,2.250,4.400,27.525,3/5,2.0,3.0,5.0
15.0,17,4.100,3.500,5.250,8.500,5.250,26.600,2/4,2.0,3.0,5.0
16.0,18,6.083,3.166,4.333,6.800,6.125,26.507,2/4,1.0,3.0,4.0
17.0,19,7.250,4.625,6.000,3.250,3.500,24.625,2/4,1.0,3.0,4.0
18.0,14,4.250,3.125,9.125,4.000,2.000,22.500,2/4,1.0,3.0,4.0
19.0,15,4.400,6.700,3.100,3.300,2.400,19.900,2/5,1.0,3.0,4.0
20.0,22,3.000,4.125,3.750,4.375,3.625,18.875,2/4,1.0,3.0,4.0
21.0,20,3.375,5.875,3.125,4.500,1.750,18.625,0/4,1.0,3.0,4.0
22.0,21,2.125,4.500,6.625,2.500,2.625,18.375,1/4,1.0,3.0,4.0
23.0,24,2.666,3.600,2.750,4.300,3.250,16.566,1/4,1.0,3.0,4.0
24.0,23,2.500,2.600,2.900,5.125,2.800,15.925,1/5,1.0,3.0,4.0
25.0,27,2.100,2.375,2.300,4.900,2.600,14.275,1/5,1.0,3.0,4.0
26.0,25,3.000,3.500,2.125,3.000,2.500,14.125,0/4,1.0,3.0,4.0
27.0,28,3.125,4.625,1.500,0.750,3.625,13.625,1/4,1.0,3.0,4.0
28.0,29,2.750,2.750,2.250,3.000,0.875,11.625,0/4,1.0,3.0,4.0
29.0,26,2.500,3.000,2.375,1.500,1.625,11.000,0/4,1.0,3.0,4.0
30.0,32,1.500,2.000,1.375,3.000,2.500,10.375,0/4,1.0,3.0,4.0
31.0,30,1.375,1.500,2.250,3.250,1.625,10.000,1/4,1.0,3.0,4.0
32.0,31,1.750,1.875,2.875,1.500,1.875,9.875,0/4,1.0,3.0,4.0
33.0,35,2.125,2.125,0.500,2.250,2.625,9.625,1/4,1.0,3.0,4.0
34.0,38,1.250,0.875,1.625,1.375,3.125,8.250,1/4,1.0,3.0,4.0
35.0,34,1.750,1.875,1.125,1.250,1.500,7.500,0/4,1.0,3.0,4.0
36.0,33,1.375,1.800,1.500,2.000,0.500,7.175,0/5,1.0,3.0,4.0
37.0,40,1.250,0.375,1.375,1.250,2.500,6.750,0/4,1.0,3.0,4.0
38.0,39,2.250,0.500,0.625,1.250,1.625,6.250,0/4,1.0,3.0,4.0
39.0,41,1.125,1.750,0.500,1.375,1.250,6.000,0/4,1.0,3.0,4.0
40.0,43,1.000,0.875,0.875,0.750,2.000,5.500,0/4,1.0,3.0,4.0
41.0,37,1.250,0.625,1.000,1.125,1.250,5.250,0/4,1.0,3.0,4.0
42.0,42,0.500,1.375,1.625,1.250,0.500,5.250,0/4,1.0,3.0,4.0
43.0,36,1.375,1.000,1.500,1.000,0.250,5.125,0/4,1.0,3.0,4.0
44.0,46,0.250,0.625,1.125,1.375,1.500,4.875,0/4,1.0,3.0,4.0
45.0,44,0.750,1.500,0.833,0.875,0.875,4.833,0/4,1.0,3.0,4.0
46.0,45,1.000,0.500,2.000,0.000,1.000,4.500,0/1,0.0,1.0,1.0
47.0,47,0.125,1.125,0.500,1.000,0.875,3.625,0/4,1.0,3.0,4.0
48.0,48,0.250,0.875,0.625,0.500,0.750,3.000,0/4,1.0,3.0,4.0
49.0,50,0.500,0.250,0.125,0.875,1.125,2.875,0/4,1.0,3.0,4.0
50.0,49,0.875,0.250,0.375,0.375,1.000,2.875,0/4,1.0,3.0,4.0
51.0,51,0.000,0.250,0.500,0.500,0.875,2.125,0/4,1.0,3.0,4.0
52.0,52,0.500,0.166,0.000,0.000,0.333,0.999,0/3,1.0,2.0,3.0
53.0,53,0.500,0.000,0.000,0.000,0.333,0.833,0/3,1.0,2.0,3.0
54.0,—,Not a UEFA member,Not a UEFA member,Not a UEFA member,Not a UEFA member,Not a UEFA member,Not a UEFA member,0/0,1.0,1.0,1.0
