Rank,Name,Country,Birth,Death
1.0,Chau Sen Cocsal Chhum,Cambodia,1905.0,2009
2.0,Celâl Bayar,Turkey,1883.0,1986
3.0,Antoine Pinay,France,1891.0,1994
4.0,Kazi Lhendup Dorjee,Sikkim,1904.0,2007
5.0,Naruhiko Higashikuni,Japan,1887.0,1990
6.0,Willem Drees,Netherlands,1886.0,1988
7.0,Zhang Qun,Republic of China,1889.0,1990
8.0,Bernardino González Ruíz,Panama,1911.0,2012
9.0,Christopher Hornsrud,Norway,1859.0,1960
10.0,Hassan al-Hakim,Syria,1886.0,1988
11.0,Xenophon Zolotas,Greece,1904.0,2004
12.0,Mukhtar Mohamed Hussein,Somalia,1912.0,2012
13.0,Hastings Banda,Malawi,1898.0,1997
14.0,Johan Ferrier,Suriname,1910.0,2010
15.0,Gulzarilal Nanda,India,1898.0,1998
16.0,Abdul Momin,Brunei,1785.0,1885
17.0,Anthony Mamo,Malta,1909.0,2008
18.0,Michail Stasinopoulos,Greece,1903.0,2002
19.0,Clifford Campbell,Jamaica,1892.0,1991
20.0,Morarji Desai,India,1896.0,1995
21.0,Vo Chi Cong,Vietnam,1912.0,2011
22.0,Aden Abdullah Osman Daar,Somalia,1908.0,2007
23.0,Abdel Halim Muhammad,Sudan,1910.0,2009
24.0,Ċensu Tabone,Malta,1913.0,2012
25.0,V.K. Wellington Koo,Republic of China,1887.0,1985
26.0,Émile Reuter,Luxembourg,1874.0,1973
27.0,Pierre Harmel,Belgium,1911.0,2009
28.0,Joseph Paul-Boncour,France,1873.0,1972
29.0,Piet de Jong,Netherlands,1915.0,Alive
30.0,Isidro Ayora,Ecuador,1879.0,1978
31.0,Mamadou Dia,Senegal,1910.0,2009
32.0,Nouhak Phoumsavanh,Laos,1910.0,2008
33.0,Borys Mykolaiovych Martos,Ukraine,1879.0,1977
34.0,Artúr Görgey,Hungary,1818.0,1916
35.0,Venceslau Brás,Brazil,1868.0,1966
36.0,Ramaswamy Venkataraman,India,1910.0,2009
37.0,Dezső Pattantyús-Ábrahám,Hungary,1875.0,1973
38.0,Gabriel París Gordillo,Colombia,1910.0,2008
39.0,Émile Flach,Monaco,1860.0,1959
40.0,Howard Cooke,Jamaica,1915.0,Alive
41.0,Ignaz von Plener,Cisleithania,1810.0,1908
42.0,Domhnall Ua Buachalla,Ireland,1866.0,1963
43.0,Federico Páez,Ecuador,1876.0,1974
44.0,He Yingqin,Republic of China,1890.0,1987
45.0,Alfredo Solf y Muro,Peru,1872.0,1969
46.0,Armando Villanueva,Peru,1915.0,2013
47.0,Ion Gheorghe Maurer,Romania,1902.0,2000
48.0,Martial Célestin,Haiti,1913.0,2011
49.0,Gough Whitlam,Australia,1916.0,Alive
50.0,Gheorghe Apostol,Romania,1913.0,2010
51.0,Pierre Antoine Laloy,France,1749.0,1846
52.0,Nguyen Van Tam,South Vietnam,1893.0,1990
53.0,Konstantinos Kollias,Greece,1901.0,1998
54.0,Ramón José Velásquez,Venezuela,1916.0,Alive
55.0,Granito Pignatelli di Belmonte,Holy See,1851.0,1948
56.0,Khertek Anchimaa-Toka,Tuva,1912.0,2008
57.0,Do Muoi,Vietnam,1917.0,Alive
58.0,Camille Huysmans,Belgium,1871.0,1968
59.0,Yitzhak Shamir,Israel,1915.0,2012
60.0,Habib Bourguiba,Tunisia,1903.0,2000
61.0,Vyacheslav Molotov,Soviet Union,1890.0,1986
62.0,Cesáreo Octavio Deustua Escarza,Peru,1849.0,1945
63.0,Kenan Evren,Turkey,1917.0,Alive
64.0,Pedro Lascuráin,Mexico,1856.0,1952
64.0,Federico Chávez,Paraguay,1882.0,1978
66.0,Fumio Gotō,Japan,1884.0,1980
67.0,Mario Echandi Jiménez,Costa Rica,1915.0,2011
68.0,João Lins Cansanção,Brazil,1810.0,1906
69.0,Dom Mintoff,Malta,1916.0,2012
70.0,Hans Schaffner,Switzerland,1908.0,2004
71.0,Joaquín Balaguer,Dominican Republic,1906.0,2002
72.0,Tomás Romero Pereira,Paraguay,1886.0,1982
73.0,Émile Derlin Zinsou,Dahomey,1918.0,Alive
74.0,Juan José Estrada,Nicaragua,1872.0,1967
75.0,Pote Sarasin,Thailand,1905.0,2000
76.0,Tahar Ben Ammar,Tunisia,1889.0,1985
77.0,Yasuhiro Nakasone,Japan,1918.0,Alive
78.0,Paal Berg,Norway,1873.0,1968
79.0,Nelson Mandela,South Africa,1918.0,Alive
80.0,Ahmed Ben Bella,Algeria,1916.0,2012
81.0,Philippe Pétain,France,1856.0,1951
82.0,Léopold Sédar Senghor,Senegal,1906.0,2001
83.0,Petar Stambolić,Yugoslavia,1912.0,2007
84.0,Aníbal Portillo,El Salvador,1914.0,2010
85.0,Pak Song-chol,North Korea,1913.0,2008
86.0,Max Petitpierre,Switzerland,1899.0,1994
87.0,Konstantinos Mitsotakis,Greece,1918.0,Alive
88.0,Saeb Salam,Lebanon,1905.0,2000
89.0,Hassan ibn Yahya,North Yemen,1908.0,2003
90.0,Guillermo Tell Villegas Pulido,Venezuela,1854.0,1949
91.0,José Bustamante y Rivero,Peru,1894.0,1989
92.0,Patricio Aylwin,Chile,1918.0,Alive
93.0,Juliana,Netherlands,1909.0,2004
94.0,Emilio Aguinaldo,Philippines,1869.0,1964
95.0,Helmut Schmidt,West Germany,1918.0,Alive
96.0,Constantin Ion Parhon,Romania,1874.0,1969
97.0,Maarouf al-Dawalibi,Syria,1909.0,2004
98.0,Emiliano Chamorro Vargas,Nicaragua,1871.0,1966
99.0,Hyun Soong-jong,South Korea,1919.0,Alive
100.0,Martti Miettunen,Finland,1907.0,2002
