Rank,District,2010 Population,Area (km 2 ),State
1.0,Petaling,1812633.0,501.0,Selangor
2.0,Kuala Lumpur,1674621.0,243.0,Federal Territory
3.0,Johor Bahru District,1386569.0,1865.0,Johor
4.0,Hulu Langat,1156585.0,840.0,Selangor
5.0,Klang,861189.0,636.0,Selangor
6.0,Kinta,767794.0,1975.0,Perak
7.0,Gombak,682226.0,628.0,Selangor
8.0,Kuching,617887.0,1863.0,Sarawak
9.0,Seremban,555935.0,959.0,Negeri Sembilan
10.0,North-East Penang Island,520202.0,121.0,Penang
11.0,Central Malacca,503127.0,689.0,Melaka
12.0,Kota Bharu,491237.0,403.0,Kelantan
13.0,Kota Kinabalu,462963.0,351.0,Sabah
14.0,Kuantan,461906.0,3067.0,Pahang
15.0,Kuala Muda,456605.0,930.0,Kedah
16.0,Batu Pahat,417458.0,1999.0,Johor
17.0,Tawau,412375.0,6125.0,Sabah
18.0,Sandakan,409056.0,2266.0,Sabah
19.0,Central Seberang Perai,371975.0,239.0,Penang
20.0,Kota Setar,366787.0,670.0,Kedah
21.0,Kuala Terengganu,343284.0,604.0,Terengganu
22.0,Larut & Matang,334073.0,2095.0,Perak
23.0,Miri,300543.0,4707.0,Sarawak
24.0,Kluang,298332.0,2885.0,Johor
25.0,North Seberang Perai,295979.0,269.0,Penang
26.0,Kulim,287694.0,768.0,Kedah
27.0,Kulaijaya,251650.0,753.0,Johor
28.0,Sibu,247995.0,2230.0,Sarawak
29.0,Muar,247957.0,2370.0,Johor
30.0,Manjung,232227.0,1074.0,Perak
31.0,Perlis,231541.0,821.0,Perlis
32.0,Kuala Langat,224648.0,885.0,Selangor
33.0,Kubang Pasu,220740.0,954.0,Kedah
34.0,Sepang,211361.0,612.0,Selangor
35.0,Kuala Selangor,209590.0,1232.0,Selangor
36.0,Hilir Perak,208570.0,1752.0,Perak
37.0,Lahad Datu,206861.0,7444.0,Sabah
38.0,South-West Penang Island,202142.0,176.0,Penang
39.0,Hulu Selangor,198132.0,1764.0,Selangor
40.0,Kota Tinggi,193210.0,3433.0,Johor
41.0,Segamat,189820.0,2879.0,Johor
42.0,Pasir Mas,189292.0,572.0,Kelantan
43.0,Bintulu,189146.0,7220.0,Sarawak
44.0,Alor Gajah,182666.0,674.0,Melaka
45.0,Kerian,179706.0,905.0,Perak
46.0,Batang Padang,179494.0,2738.0,Perak
47.0,Keningau,177735.0,3533.0,Sabah
48.0,Kemaman,171383.0,2581.0,Terengganu
49.0,South Seberang Perai,171045.0,243.0,Penang
50.0,Temerloh,165451.0,2471.0,Pahang
