Triples,Player,Team,Year,Years Record Stood
14.0,Ross Barnes,Chicago White Stockings,1876.0,6
14.0,Buttercup Dickerson,Cincinnati Reds,1879.0,3
14.0,Harry Stovey,Worcester Ruby Legs,1880.0,2
18.0,Roger Connor,Troy Trojans,1882.0,2
20.0,Buck Ewing,New York Giants,1884.0,3
20.0,Roger Connor,New York Giants,1886.0,1
23.0,Sam Thompson,Detroit Wolverines,1887.0,3
26.0,John Reilly,Cincinnati Reds,1890.0,3
29.0,Perry Werden,St. Louis Browns (NL),1893.0,1
31.0,Heinie Reitz,Baltimore Orioles (NL),1894.0,18
21.0,Bill Keister,Baltimore Orioles,1901.0,(1) 7
21.0,Jimmy Williams,Baltimore Orioles,1901.0,(1)
22.0,Sam Crawford,Cincinnati Reds,1902.0,(1)
22.0,Tommy Leach,Pittsburgh Pirates,1902.0,(1)
25.0,Sam Crawford,Detroit Tigers,1903.0,(9)
36.0,Chief Wilson,Pittsburgh Pirates,1912.0,current
