Draft,Round,Pick,Player,Nationality
1979.0,1,20.0,Michel Goulet Category:Articles with hCards,Canada
1979.0,2,41.0,Dale Hunter Category:Articles with hCards,Canada
1979.0,3,62.0,Lee Norwood Category:Articles with hCards,United States
1979.0,4,83.0,Anton Stastny Category:Articles with hCards,Slovakia
1979.0,5,104.0,Pierre Lacroix Category:Articles with hCards,Canada
1979.0,6,125.0,Scott McGeown Category:Articles with hCards,Canada
1980.0,2,24.0,Normand Rochefort Category:Articles with hCards,Canada
1980.0,4,66.0,Jay Miller Category:Articles with hCards,United States
1980.0,5,87.0,Basil McRae Category:Articles with hCards,Canada
1980.0,6,108.0,Mark Kumpel Category:Articles with hCards,United States
1980.0,7,129.0,Gaston Therrien Category:Articles with hCards,Canada
1980.0,8,150.0,Michel Bolduc Category:Articles with hCards,Canada
1980.0,9,171.0,Christian Tanguay Category:Articles with hCards,Canada
1980.0,10,192.0,Bill Robinson Category:Articles with hCards,Canada
1981.0,1,11.0,Randy Moller Category:Articles with hCards,Canada
1981.0,3,53.0,Jean-Marc Gaulin Category:Articles with hCards,Canada
1981.0,4,74.0,Clint Malarchuk Category:Articles with hCards,Canada
1981.0,5,95.0,Ed Lee Category:Articles with hCards,United States
1981.0,6,116.0,Mike Eagles Category:Articles with hCards,Canada
1981.0,8,158.0,Andre Cote Category:Articles with hCards,Canada
1981.0,9,179.0,Marc Brisebois Category:Articles with hCards,Canada
1981.0,10,200.0,Kari Takko Category:Articles with hCards,Finland
1982.0,1,13.0,David Shaw Category:Articles with hCards,Canada
1982.0,2,34.0,Paul Gillis Category:Articles with hCards,Canada
1982.0,3,55.0,Mario Gosselin Category:Articles with hCards,Canada
1982.0,4,76.0,Jiri Lala Category:Articles with hCards,Czech
1982.0,5,97.0,Phil Stanger Category:Articles with hCards,Canada
1982.0,7,131.0,Daniel Poudrier Category:Articles with hCards,Canada
1982.0,9,181.0,Mike Hough Category:Articles with hCards,Canada
1982.0,10,202.0,Vincent Lukac Category:Articles with hCards,Czech
1982.0,11,223.0,Andre Martin Category:Articles with hCards,Canada
1982.0,12,244.0,Jozef Lukac Category:Articles with hCards,Czech
1982.0,12,248.0,Jan Jasko Category:Articles with hCards,Slovakia
1983.0,2,32.0,Yves Heroux Category:Articles with hCards,Canada
1983.0,3,52.0,Bruce Bell Category:Articles with hCards,Canada
1983.0,3,54.0,Iiro Jarvi Category:Articles with hCards,Finland
1983.0,5,92.0,Luc Guenette Category:Articles with hCards,Canada
1983.0,6,112.0,Brad Walcot Category:Articles with hCards,Canada
1983.0,7,132.0,Craig Mack Category:Articles with hCards,United States
1983.0,8,152.0,Tommy Albelin Category:Articles with hCards,Sweden
1983.0,9,172.0,Wayne Groulx Category:Articles with hCards,Canada
1983.0,10,192.0,Scott Shaunessy Category:Articles with hCards,United States
1983.0,12,232.0,Bo Berglund Category:Articles with hCards,Sweden
1983.0,12,239.0,Jindrich Kokrment Category:Articles with hCards,Czech
1984.0,1,15.0,Trevor Stienburg Category:Articles with hCards,Canada
1984.0,2,36.0,Jeff Brown Category:Articles with hCards,Canada
1984.0,3,57.0,Steve Finn Category:Articles with hCards,Canada
1984.0,4,78.0,Terry Perkins Category:Articles with hCards,Canada
1984.0,6,120.0,Darren Cota Category:Articles with hCards,Canada
1984.0,7,141.0,Henrik Cedergren Category:Articles with hCards,Sweden
1984.0,8,162.0,Jyrki Maki Category:Articles with hCards,Finland
1984.0,9,183.0,Guy Ouellette Category:Articles with hCards,Canada
1984.0,10,203.0,Ken Quinney Category:Articles with hCards,Canada
1984.0,12,244.0,Peter Loob Category:Articles with hCards,Sweden
1985.0,1,15.0,David Latta Category:Articles with hCards,Canada
1985.0,2,36.0,Jason Lafreniere Category:Articles with hCards,Canada
1985.0,3,57.0,Max Middendorf Category:Articles with hCards,United States
1985.0,4,65.0,Peter Massey Category:Articles with hCards,United States
1985.0,4,78.0,David Espe Category:Articles with hCards,United States
1985.0,5,99.0,Bruce Major Category:Articles with hCards,Canada
1985.0,6,120.0,Andy Akervik Category:Articles with hCards,United States
1985.0,7,141.0,Mike Oliverio Category:Articles with hCards,Canada
1985.0,8,162.0,Mario Brunetta Category:Articles with hCards,Canada
1985.0,9,183.0,Brit Peer Category:Articles with hCards,Canada
1985.0,10,204.0,Tom Sasso Category:Articles with hCards,United States
1985.0,11,225.0,Gary Murphy Category:Articles with hCards,United States
1985.0,12,246.0,Jean Bois Category:Articles with hCards,Canada
1986.0,1,18.0,Ken McRae Category:Articles with hCards,Canada
1986.0,2,39.0,Jean-Marc Routhier Category:Articles with hCards,Canada
1986.0,2,41.0,Stephane Guerard Category:Articles with hCards,Canada
1986.0,4,81.0,Ron Tugnutt Category:Articles with hCards,Canada
1986.0,5,102.0,Gerald Bzdel Category:Articles with hCards,Canada
1986.0,6,117.0,Scott White Category:Articles with hCards,Canada
1986.0,6,123.0,Morgen Samuelsson Category:Articles with hCards,Sweden
1986.0,7,134.0,Mark Vermette Category:Articles with hCards,Canada
1986.0,7,144.0,Jean-Francois Nault Category:Articles with hCards,Canada
1986.0,8,165.0,Keith Miller Category:Articles with hCards,Canada
1986.0,9,186.0,Pierre Miller Category:Articles with hCards,Canada
1986.0,10,207.0,Chris Lappin Category:Articles with hCards,United States
1986.0,11,228.0,Martin Latreille Category:Articles with hCards,Canada
1986.0,12,249.0,Sean Boudreault Category:Articles with hCards,United States
1986.0,S,19.0,Mike Natyshak Category:Articles with hCards,Canada
1987.0,1,9.0,Bryan Fogarty Category:Articles with hCards,Canada
1987.0,1,15.0,Joe Sakic Category:Articles with hCards,Canada
1987.0,3,51.0,Jim Sprott Category:Articles with hCards,Canada
1987.0,4,72.0,Kip Miller Category:Articles with hCards,United States
1987.0,5,93.0,Rob Mendel Category:Articles with hCards,United States
1987.0,6,114.0,Garth Snow Category:Articles with hCards,United States
1987.0,7,135.0,Tim Hanus Category:Articles with hCards,United States
1987.0,8,156.0,Jake Enebak Category:Articles with hCards,United States
1987.0,9,177.0,Jaroslav Sevcik Category:Articles with hCards,Czech
1987.0,9,183.0,Ladislav Tresl Category:Articles with hCards,Czech
1987.0,10,198.0,Darren Nauss Category:Articles with hCards,Canada
1987.0,11,219.0,Mike Williams Category:Articles with hCards,United States
1987.0,S,17.0,Mike Hitner Category:Articles with hCards,United States
1988.0,1,3.0,Curtis Leschyshyn Category:Articles with hCards,Canada
1988.0,1,5.0,Daniel Dore Category:Articles with hCards,Canada
1988.0,2,24.0,Stephane Fiset Category:Articles with hCards,Canada
1988.0,3,45.0,Petri Aaltonen Category:Articles with hCards,Finland
1988.0,4,66.0,Darin Kimble Category:Articles with hCards,Canada
1988.0,5,87.0,Stephane Venne Category:Articles with hCards,Canada
1988.0,6,108.0,Ed Ward Category:Articles with hCards,Canada
1988.0,7,129.0,Valeri Kamensky Category:Articles with hCards,Russia
1988.0,8,150.0,Sakari Lindfors Category:Articles with hCards,Finland
1988.0,9,171.0,Dan Wiebe Category:Articles with hCards,Canada
1988.0,11,213.0,Alexei Gusarov Category:Articles with hCards,Russia
1988.0,12,234.0,Claude Lapointe Category:Articles with hCards,Canada
1988.0,S,3.0,Phil Berger Category:Articles with hCards,United States
1988.0,S,8.0,Jamie Baker Category:Articles with hCards,Canada
1989.0,1,1.0,Mats Sundin Category:Articles with hCards,Sweden
1989.0,2,22.0,Adam Foote Category:Articles with hCards,Canada
1989.0,3,43.0,Stephane Morin Category:Articles with hCards,Canada
1989.0,3,54.0,John Tanner Category:Articles with hCards,Canada
1989.0,4,68.0,Niklas Andersson Category:Articles with hCards,Sweden
1989.0,4,76.0,Eric Dubois Category:Articles with hCards,Canada
1989.0,5,85.0,Kevin Kaiser Category:Articles with hCards,Canada
1989.0,6,106.0,Dan Lambert Category:Articles with hCards,Canada
1989.0,7,127.0,Sergei Mylnikov Category:Articles with hCards,Russia
1989.0,8,148.0,Paul Krake Category:Articles with hCards,Canada
1989.0,9,169.0,Vyacheslav Bykov Category:Articles with hCards,Russia
1989.0,10,190.0,Andrei Khomutov Category:Articles with hCards,Russia
1989.0,11,211.0,Byron Witkowski Category:Articles with hCards,Canada
1989.0,12,232.0,Noel Rahn Category:Articles with hCards,United States
1989.0,S,1.0,Dave DePinto Category:Articles with hCards,United States
1989.0,S,6.0,Rick Berens Category:Articles with hCards,United States
1990.0,1,1.0,Owen Nolan Category:Articles with hCards,Canada
1990.0,2,22.0,Ryan Hughes Category:Articles with hCards,Canada
1990.0,3,43.0,Brad Zavisha Category:Articles with hCards,Canada
1990.0,6,106.0,Jeff Parrott Category:Articles with hCards,Canada
1990.0,7,127.0,Dwayne Norris Category:Articles with hCards,Canada
1990.0,8,148.0,Andrei Kovalenko Category:Articles with hCards,Russia
1990.0,8,158.0,Alexander Karpovtsev Category:Articles with hCards,Russia
1990.0,9,169.0,Pat Mazzoli Category:Articles with hCards,Canada
1990.0,10,190.0,Scott Davis Category:Articles with hCards,Canada
1990.0,11,211.0,Mika Stromberg Category:Articles with hCards,Finland
1990.0,12,232.0,Wade Klippenstein Category:Articles with hCards,Canada
1990.0,S,1.0,Mike McKee Category:Articles with hCards,Canada
