Rank,Artist,Album,Peak position,Sales,Certification
1.0,Bon Jovi,Lost Highway,1,300000.0,3x Platinum
2.0,Josh Groban,Noël,1,300000.0,3x Platinum
3.0,Alicia Keys,As I Am,2,200000.0,2x Platinum
4.0,Kanye West,Graduation,1,200000.0,2x Platinum
5.0,Kid Rock,Rock N Roll Jesus,4,200000.0,2x Platinum
6.0,Norah Jones,Not Too Late,1,200000.0,2x Platinum
7.0,Britney Spears,Blackout,1,100000.0,Platinum
8.0,Kelly Clarkson,My December,2,100000.0,Platinum
9.0,Sean Kingston,Sean Kingston,n/a,100000.0,Platinum
10.0,Timbaland,Shock Value,2,100000.0,Platinum
