Draw,Language,Artist,Song,English translation,Place,Points
1.0,Swedish,Marie Bergman and Roger Pontare,""" Stjärnorna """,The stars,13.0,48.0
2.0,Finnish,CatCat,""" Bye Bye Baby """,–,22.0,11.0
3.0,English,Paul Harrington and Charlie McGettigan,""" Rock 'n' Roll Kids """,–,1.0,226.0
4.0,Greek,Evridiki,""" Íme ánthropos ki egó "" (Είμαι άνθρωπος κι εγώ)",I'm human too,11.0,51.0
5.0,Icelandic,Sigga,""" Nætur """,Nights,12.0,49.0
6.0,English,Frances Ruffelle,""" We Will Be Free (Lonely Symphony) """,–,10.0,63.0
7.0,Croatian,Tony Cetinski,""" Nek' ti bude ljubav sva """,You may have all the love,16.0,27.0
8.0,Portuguese,Sara Tavares,""" Chamar a música """,Call the music,8.0,73.0
9.0,Italian,Duilio,""" Sto pregando """,I'm praying,19.0,15.0
10.0,Estonian,Silvi Vrait,""" Nagu merelaine """,Like a seawave,24.0,2.0
11.0,Romanian,Dan Bittman,""" Dincolo de nori """,Beyond the clouds,21.0,14.0
12.0,English,Chris and Moira,""" More than Love """,–,5.0,97.0
13.0,Dutch,Willeke Alberti,""" Waar is de zon? """,Where is the sun?,23.0,4.0
14.0,German,MeKaDo,""" Wir geben 'ne Party """,We're throwing a party,3.0,128.0
15.0,Slovak,Tublatanka,""" Nekonečná pieseň """,Neverending song,19.0,15.0
16.0,Lithuanian,Ovidijus Vyšniauskas,""" Lopšinė mylimai """,Lullaby for my beloved,25.0,0.0
17.0,Norwegian,Elisabeth Andreassen and Jan Werner Danielsen,""" Duett """,Duet,6.0,76.0
18.0,Bosnian,Alma and Dejan,""" Ostani kraj mene """,Stay beside me,15.0,39.0
19.0,Greek,Kostas Bigalis and The Sea Lovers,""" To Trehandiri "" (Το τρεχαντήρι)",The trehandiri,14.0,44.0
20.0,German,Petra Frey,""" Für den Frieden der Welt """,For the peace of the world,17.0,19.0
21.0,Spanish,Alejandro Abad,""" Ella no es ella """,She's not her,18.0,17.0
22.0,Hungarian,Friderika Bayer,""" Kinek mondjam el vétkeimet? """,Whom can I tell my sins?,4.0,122.0
23.0,Russian,Youddiph,""" Vechny strannik "" (Вечный странник)",Eternal wanderer,9.0,70.0
24.0,Polish,Edyta Górniak,""" To nie ja! """,That's not me!,2.0,166.0
25.0,French,Nina Morato,""" Je suis un vrai garçon """,I'm a real boy,7.0,74.0
