Pick,Player,Team,Position,Hometown/School
1.0,Jeff King,Pittsburgh Pirates,SS,University of Arkansas
2.0,Greg Swindell,Cleveland Indians,P,University of Texas
3.0,Matt Williams,San Francisco Giants,3B,UNLV
4.0,Kevin Brown,Texas Rangers,P,Georgia Tech
5.0,Kent Mercker,Atlanta Braves,P,"Dublin HS (Dublin, OH)"
6.0,Gary Sheffield,Milwaukee Brewers,SS,"Hillsborough HS (Tampa, FL)"
7.0,Brad Brink,Philadelphia Phillies,RHP,University of Southern California
8.0,Patrick Lennon,Seattle Mariners,SS,"Whiteville HS (Whiteville, NC)"
9.0,Derrick May,Chicago Cubs,OF,"Newark HS (Newark, DE)"
10.0,Derek Parks,Minnesota Twins,RHP,"Montclair HS (Montclair, CA)"
11.0,Thomas Howard,San Diego Padres,OF,Ball State University
12.0,Scott Hemond,Oakland Athletics,C,University of South Florida
13.0,Ryan Bowen,Houston Astros,RHP,"Hanford HS (Hanford, CA)"
14.0,Greg McMurtry,Boston Red Sox,OF,"Brockton HS (Brockton, MA)"
15.0,Kevin Dean,Montreal Expos,OF,"Hogan HS (Vallejo, CA)"
16.0,Roberto Hernández,California Angels,RHP,University of South Carolina
17.0,Scott Scudder,Cincinnati Reds,RHP,"Prairiland HS (Blossom, TX)"
18.0,Phil Clark,Detroit Tigers,C,"Crockett HS (Crockett, TX)"
19.0,Mike White,Los Angeles Dodgers,OF,"Loudon HS (Loudon, TN)"
20.0,Grady Hall,Chicago White Sox,LHP,Northwestern University
21.0,"Lee May, Jr.",New York Mets,OF,"Purcell Marian HS (Cincinnati, OH)"
22.0,Lee Stevens,California Angels,OF,"Lawrence, HS (Lawrence, KS)"
23.0,Luis Alicea,St. Louis Cardinals,2B,Florida State University
24.0,Tony Clements,Kansas City Royals,SS,"Don Antonio Lugo (Chino, CA)"
25.0,Terry Carr,California Angels,OF,"Bennett HS (Salisbury, MD)"
26.0,Earl Sanders,Toronto Blue Jays,RHP,Jackson State University
27.0,Mike Fetters,California Angels,RHP,Pepperdine University
28.0,Daryl Green,California Angels,RHP,"Nacogdoches HS ( Nacogdoches, TX )"
