Rank,Heat,Name,Nationality,Time
1.0,3.0,Nancy Lagat,Kenya,4:03.02
2.0,3.0,Nataliya Tobias,Ukraine,4:03.19
3.0,3.0,Lisa Dobriskey,Great Britain,4:03.22
4.0,3.0,Shannon Rowbury,United States,4:03.89
5.0,3.0,Anna Alminova,Russia,4:04.66
6.0,1.0,Maryam Yusuf Jamal,Bahrain,4:05.14
7.0,1.0,Natalia Rodríguez,Spain,4:05.30
8.0,1.0,Siham Hilali,Morocco,4:05.36
9.0,1.0,Anna Mishchenko,Ukraine,4:05.61
10.0,1.0,Sarah Jamieson,Australia,4:06.64
11.0,1.0,Stephanie Twell,Great Britain,4:06.68
12.0,1.0,Anna Jakubczak,Poland,4:07.33
13.0,3.0,Sylwia Ejdys,Poland,4:08.37
14.0,3.0,René Kalmer,South Africa,4:08.41
15.0,3.0,Sonja Roman,Slovenia,4:08.52
16.0,3.0,Liu Qing,China,4:09.27
17.0,1.0,Christin Wurth-Thomas,United States,4:09.70
18.0,1.0,Irene Jelagat,Kenya,4:09.92
19.0,3.0,Meskerem Assefa,Ethiopia,4:10.04
20.0,2.0,Iryna Lishchynska,Ukraine,4:13.60
21.0,2.0,Iris Fuentes-Pila,Spain,4:14.10
22.0,2.0,Btissam Lakhouad,Morocco,4:14.34
23.0,2.0,Susan Scott,Great Britain,4:14.66
24.0,1.0,Konstadína Efedáki,Greece,4:15.02
25.0,2.0,Viola Kibiwot,Kenya,4:15.62
26.0,2.0,Gelete Burka,Ethiopia,4:15.77
27.0,2.0,Agnes Samaria,Namibia,4:15.80
28.0,2.0,Erin Donohue,United States,4:16.05
29.0,2.0,Lisa Corrigan,Australia,4:16.32
30.0,1.0,Nahida Touhami,Algeria,4:18.99
31.0,2.0,Lidia Chojecka,Poland,4:19.57
32.0,3.0,Bouchra Chaabi,Morocco,4:19.89
33.0,2.0,Domingas Togna,Guinea-Bissau,5:05.76
