Position,Team,Played,Wins,Draws,Losses,Scored,Conceded,Points
1.0,Olimpia,18.0,11.0,5.0,2.0,38.0,20.0,38.0
2.0,Sol de América,18.0,9.0,5.0,4.0,27.0,21.0,32.0
3.0,Guaraní,18.0,9.0,5.0,4.0,28.0,16.0,32.0
4.0,12 de Octubre,18.0,8.0,3.0,7.0,21.0,22.0,27.0
5.0,San Lorenzo,18.0,7.0,6.0,5.0,18.0,16.0,27.0
6.0,Cerro Porteño,18.0,7.0,5.0,6.0,22.0,17.0,26.0
7.0,Sportivo Luqueño,18.0,6.0,5.0,7.0,25.0,31.0,23.0
8.0,Atl. Colegiales,18.0,6.0,2.0,10.0,20.0,25.0,20.0
9.0,Cerro Corá,18.0,4.0,4.0,10.0,17.0,27.0,16.0
10.0,Universal,18.0,2.0,2.0,14.0,20.0,41.0,8.0
