Driver,Team,Laps,Time/Retired,Grid,Points
Scott Dixon,Target Chip Ganassi Racing,91.0,1:51:05.704,4.0,50.0
Hélio Castroneves,Team Penske,91.0,+5.9 secs,2.0,43.0
Justin Wilson,Newman/Haas/Lanigan Racing,91.0,+13.4 secs,6.0,35.0
Paul Tracy,Vision Racing,91.0,+28.1 secs,15.0,32.0
Oriol Servia,KV Racing Technology,91.0,+28.7 secs,3.0,30.0
Ryan Briscoe,Team Penske,91.0,+36.9 secs,1.0,28.0
Dan Wheldon,Target Chip Ganassi Racing,91.0,+41.8 secs,9.0,26.0
Ryan Hunter-Reay,Andretti Green Racing,91.0,+42.1 secs,13.0,24.0
Tony Kanaan,Andretti Green Racing,91.0,+43.1 secs,27.0,22.0
Darren Manning,A. J. Foyt Enterprises,91.0,+43.3 secs,18.0,20.0
Buddy Rice,Dreyer & Reinbold Racing,91.0,+48.4 secs,22.0,19.0
A. J. Foyt IV,Vision Racing,91.0,+50.1 secs,17.0,18.0
Ed Carpenter,Vision Racing,91.0,+57.6 secs,23.0,17.0
Bruno Junqueira,Dale Coyne Racing,91.0,+61.1 secs,7.0,16.0
E. J. Viso (R),HVM Racing,90.0,+ 1 lap,20.0,15.0
Enrique Bernoldi (R),Conquest Racing,90.0,+ 1 lap,11.0,14.0
Marco Andretti,Andretti Green Racing,90.0,+ 1 lap,12.0,13.0
Danica Patrick,Andretti Green Racing,88.0,+ 3 laps,14.0,12.0
Vitor Meira,Panther Racing,85.0,+ 6 laps,16.0,12.0
Mario Moraes (R),Dale Coyne Racing,85.0,+ 6 laps,10.0,12.0
Marty Roth,Roth Racing,84.0,+ 7 laps,25.0,12.0
Will Power,KV Racing Technology,72.0,+ 19 laps,5.0,12.0
Jaime Camara (R),Conquest Racing,68.0,Mechanical,26.0,12.0
Mario Dominguez,Pacific Coast Motorsports,51.0,Off Course,19.0,12.0
Townsend Bell,Dreyer & Reinbold Racing,48.0,Contact,24.0,10.0
Graham Rahal,Newman/Haas/Lanigan Racing,44.0,Contact,8.0,10.0
Hideki Mutoh,Andretti Green Racing,27.0,Contact,21.0,10.0
