Name,Position,Apps,Goals,Assists
Paul Robinson,Goalkeeper,39.0,0.0,0.0
Andre Ooijer,Defender,94.0,2.0,3.0
Stephen Warnock,Full Back,105.0,6.0,8.0
Christopher Samba,Defender,96.0,8.0,6.0
Tugay Kerimoğlu,Midfielder,291.0,12.0,12.0
Ryan Nelsen,Defender,144.0,1.0,2.0
Brett Emerton,Winger,230.0,13.0,29.0
David Dunn,Midfielder,239.0,40.0,32.0
Roque Santa Cruz,Forward,70.0,29.0,10.0
Benni McCarthy,Forward,118.0,48.0,6.0
Vince Grella,Midfielder,17.0,0.0,0.0
Morten Gamst Pedersen,Winger,199.0,33.0,46.0
Zurab Khizanishvili,Defender,90.0,2.0,1.0
Aaron Mokoena,Midfielder,137.0,2.0,7.0
Steven Reid,Midfielder,124.0,7.0,10.0
Keith Andrews,Midfielder,33.0,4.0,0.0
Paul Gallagher,Winger,74.0,8.0,7.0
El Hadji Diouf,Winger,12.0,1.0,2.0
Carlos Villanueva,Versatile,20.0,2.0,4.0
Gaël Givet,Defender,16.0,0.0,0.0
Danny Simpson,Full Back,20.0,0.0,0.0
Keith Treacy,Winger,22.0,0.0,1.0
Alan Judge,Winger,2.0,0.0,0.0
Julio Santa Cruz,Forward,0.0,0.0,0.0
Matt Derbyshire,Forward,85.0,19.0,10.0
Tony Kane,Full Back,0.0,0.0,0.0
Martin Olsson,Full-back,18.0,1.0,0.0
Jason Roberts,Forward,84.0,17.0,13.0
Bryan Hodge,Midfielder,0.0,0.0,0.0
Jason Brown,Goalkeeper,8.0,0.0,0.0
Frank Fielding,Goalkeeper,0.0,0.0,0.0
Gunnar Nielsen,Goalkeeper,0.0,0.0,0.0
Marcus Marshall,Forward,1.0,0.0,0.0
Alex Marrow,Midfielder,0.0,0.0,0.0
Mark Bunn,Goalkeeper,1.0,0.0,0.0
Aaron Doran,Winger,2.0,0.0,0.0
Bjorn Bussmann,Goalkeeper,0.0,0.0,0.0
Andy Haworth,Winger,2.0,0.0,0.0
Gavin Gunning,Defender,0.0,0.0,0.0
Jamie Clarke,Forward,0.0,0.0,0.0
