Draw,Artist,Song,Result,Place
1.0,Anna Semenovich,"""Love lovila""",8%,5.0
2.0,Tomas N'evergreen,"""One More Try""",2%,11.0
3.0,Alexa,"""Ne dumat o tebye""",7%,6.0
4.0,Plazma,"""Never Ending Story""",3%,8.0
5.0,Anastasia Prikhodko,"""Mamo""",25%,1.0
6.0,Valeriya,"""Back to Love""",14%,2.0
7.0,Nano,"""Traitor""",2%,11.0
8.0,Tim Rocks,"""The Happiest Man""",1%,15.0
9.0,Princessa Avenue,"""Never, Never""",2%,11.0
10.0,Nikolay Fokeev,"""You Can Stop The Time""",1%,15.0
11.0,Venger Collective,"""9 O'Clock Moscow""",3%,8.0
12.0,Polina Griffith,"""Cry for You""",5%,7.0
13.0,Alexey Vorobyov,"""Angelom byt""",10%,4.0
14.0,Unisex,"""Ai-ai-ai""",2%,11.0
15.0,Arishata,"""Breakdown""",3%,8.0
16.0,Kvatro,"""Lyubovyu otvechay""",12%,3.0
