Name A[› ],Dam or A[› ] Reservoir,GNIS Feature ID # Link A[› ] B[› ],Elevation A[› ],Borough or A[› ] Census area
Adak Log Dam,Dam,1417328.0,feet (m),Aleutians West (CA)
Akhoik Dam,Dam,1417371.0,feet (m),Kodiak Island
Akutan Power Dam,Dam,1417349.0,feet (m),Aleutians East
Akutan Water Supply Dam,Dam,1417347.0,feet (m),Aleutians East
Alaska Packers Association Chignik Dam,Dam,1417321.0,feet (m),Lake and Peninsula
Aleut Creek Dam,Dam,1417269.0,feet (m),Aleutians West (CA)
Alitak Cannery Dam Number 1,Dam,1417310.0,feet (m),Kodiak Island
Alitak Cannery Dam Number 2,Dam,1417309.0,feet (m),Kodiak Island
Alitak Cannery Dam Number 3,Dam,1417308.0,feet (m),Kodiak Island
Alitak Cannery Dam Number 4,Dam,1417313.0,feet (m),Kodiak Island
City of Angoon Dam,Dam,1417288.0,feet (m),Hoonah-Angoon (CA)
Annex Lakes,Reservoir,1417173.0,feet (m),Juneau
Annex Lakes Dam,Dam,1417172.0,feet (m),Juneau
Apw Dam Number 1,Dam,1417239.0,feet (m),Valdez-Cordova (CA)
APW Dam Number 2,Dam,1417276.0,feet (m),Valdez-Cordova (CA)
APW Reservoir,Reservoir,1417240.0,feet (m),Valdez-Cordova (CA)
APW Reservoir,Reservoir,1417277.0,feet (m),Valdez-Cordova (CA)
Aquaculture Dam,Dam,1417199.0,feet (m),Valdez-Cordova (CA)
Atka Power Dam,Dam,1417336.0,feet (m),Aleutians West (CA)
Atka Water Supply Dam,Dam,1417331.0,feet (m),Aleutians West (CA)
Bettinger A Dam,Dam,1417207.0,feet (m),Kodiak Island
Lake Bettinger,Reservoir,1417208.0,feet (m),Kodiak Island
Lake Bettinger B Dam,Dam,1417241.0,feet (m),Kodiak Island
Lake Bettinger C Dam,Dam,1417243.0,feet (m),Kodiak Island
Lake Bettinger D Dam,Dam,1417244.0,feet (m),Kodiak Island
Lake Bettinger Lower Reservoir,Reservoir,1417242.0,feet (m),Kodiak Island
Blue Lake,Reservoir,1420534.0,feet (m),Sitka
Blue Lake Dam,Dam,1417171.0,feet (m),Sitka
Bonny Rose Lake Dam,Dam,1417326.0,feet (m),Aleutians West (CA)
Bradley Lake,Reservoir,1412666.0,feet (m),Kenai Peninsula
Bridge Creek Dam,Dam,1417319.0,feet (m),Kenai Peninsula
Campbell Lake Dam,Dam,1417217.0,feet (m),Anchorage
Campbell Reservoir,Reservoir,1417218.0,feet (m),Anchorage
Carlanna Lake Dam,Dam,1417185.0,feet (m),Ketchikan Gateway
Cascade Creek Dam,Dam,1417351.0,feet (m),Sitka
