Player,Country,Year(s) won,Total,To par
Fred Couples,United States,1992,146.0,2.0
José María Olazábal,Spain,"1994 , 1999",146.0,2.0
Ian Woosnam,Wales,1991,149.0,5.0
Zach Johnson,United States,2007,150.0,6.0
Bernhard Langer,Germany,"1985 , 1993",150.0,6.0
Mark O'Meara,United States,1998,151.0,7.0
Craig Stadler,United States,1982,151.0,7.0
Fuzzy Zoeller,United States,1979,155.0,11.0
Ben Crenshaw,United States,"1984 , 1995",156.0,12.0
Tom Watson,United States,"1977 , 1981",157.0,13.0
Raymond Floyd,United States,1976,158.0,14.0
Gary Player,South Africa,"1961 , 1974 , 1978",161.0,17.0
