Name,Position,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Total Apps,Total Goals
Terry Armstrong,FW,4,0.0,0,0.0,0,0.0,4,0.0
Steve Baines,DF,43 (1),5.0,2,0.0,4,1.0,49 (1),6.0
Mick Butler,MF,23 (3),3.0,0,0.0,3,1.0,26 (3),4.0
Bobby Campbell,FW,19 (1),8.0,0,0.0,0,0.0,19 (1),8.0
Paul Cooper,DF,2,0.0,0,0.0,0,0.0,2,0.0
Terry Eccles,FW,17,3.0,0,0.0,0,0.0,17,3.0
Franny Firth,FW,8,2.0,0,0.0,4,0.0,12,2.0
Martin Fowler,MF,36 (3),1.0,2,0.0,4,0.0,42 (3),1.0
Paul Gartland,DF,3,0.0,0,0.0,0,0.0,3,0.0
John Gilligan,MF,0 (1),0.0,0,0.0,0,0.0,0 (1),0.0
Wayne Goldthorpe,FW,5 (2),2.0,1,0.0,1,0.0,7 (2),2.0
Terry Gray,FW,17 (1),6.0,0,0.0,0,0.0,17 (1),6.0
Neil Hague,DF,25,2.0,1,0.0,4,0.0,30,2.0
Peter Hart,MF,44,1.0,2,0.0,4,0.0,50,1.0
Peter Howey,MF,3,1.0,0,0.0,0,0.0,3,1.0
Kevin Johnson,FW,38,13.0,0 (1),0.0,0,0.0,38 (1),13.0
Chris Jones,MF,9 (5),2.0,1 (1),0.0,1 (1),0.0,11 (7),2.0
Lloyd Maitland,MF,10 (2),0.0,2,0.0,4,0.0,16 (2),0.0
Jim McCaffrey,MF,14 (1),0.0,0,0.0,0,0.0,14 (1),0.0
Bob Newton,FW,15 (2),2.0,2,0.0,3 (1),3.0,20 (3),5.0
Peter Oliver,DF,41,1.0,2,0.0,4,0.0,47,1.0
Terry Poole,GK,24,0.0,2,0.0,4,0.0,30,0.0
Arnie Sidebottom,DF,18 (5),2.0,2,1.0,0 (2),0.0,20 (7),3.0
Steve Smith,MF,44,3.0,2,0.0,4,0.0,50,3.0
Alan Starling,GK,13,0.0,0,0.0,0,0.0,13,0.0
Alan Sweeney,DF,21,0.0,1,0.0,0,0.0,22,0.0
Dick Taylor,GK,9,0.0,0,0.0,0,0.0,9,0.0
Paul Walker,MF,1,0.0,0,0.0,0,0.0,1,0.0
