Draw,Artist,Song,Points,Place
1.0,Saules kliošas,"""Saulė""",19.0,9.0
2.0,69 Danguje,"""Meilės simfonija""",76.0,3.0
3.0,Rūta Ščiogolevaitė,"""Redemption""",72.0,4.0
4.0,Donatas Montvydas,"""From The Distance""",100.0,2.0
5.0,Jonas Čepulis & Skirmantė,"""Uosilėli žaliasai""",31.0,8.0
6.0,Darius Pranckevičius & Violeta Valskytė,"""Nelytėta viltis""",39.0,7.0
7.0,Milanno & Karina Krysko,"""Kelias pas tave""",48.0,6.0
8.0,Sasha Son,"""Pasiklydęs žmogus""",120.0,1.0
9.0,Linas Adomaitis,"""Tavo spalvos""",62.0,5.0
10.0,Aurelija Slavinskaitė,"""Part of Me""",13.0,10.0
