Debut year,Player,Games,Goals,Years at club
1990.0,Roger Delaney,1.0,0.0,1990
1990.0,Dale Kickett,15.0,13.0,1990
1990.0,Chris Waterson,13.0,7.0,1990–1991
1990.0,Mark Athorn,21.0,0.0,1990
1990.0,Matthew Dundas,73.0,61.0,1990–1993
1990.0,Robert Cummings,1.0,0.0,1990
1990.0,Jason Taylor,7.0,4.0,1990–1991
1990.0,Mark Bunn,30.0,1.0,1990–1992
1990.0,Andrew Johnston,9.0,3.0,1990–1991
1990.0,Darren Collins,4.0,3.0,1990
1990.0,Nick Beardsley,1.0,0.0,1990
1991.0,Matthew Bourke,2.0,2.0,1991
1991.0,Joe Cormack,26.0,17.0,1991–1992
1991.0,Brad Davis,5.0,1.0,"1991, 1993"
1991.0,Brenton Klaebe,5.0,0.0,1991
1991.0,David O'Connell,21.0,13.0,1991–1992
1991.0,Shayne Stevenson,11.0,9.0,1991–1993
1991.0,Jamie Elliott,40.0,7.0,1991–1993
1991.0,Frank Bizzotto,38.0,4.0,"1991, 1993–1996"
1991.0,Dean Harding,19.0,25.0,1991–1993
1991.0,David Noble,2.0,0.0,1991
1991.0,Peter Caven,39.0,17.0,1991–1993
1991.0,Justin McGrath,8.0,0.0,1991
1991.0,Stephen Paxman,102.0,18.0,1991–1996
1991.0,David Donato,12.0,2.0,1991
1991.0,Darron Wilkinson,1.0,0.0,1991
1991.0,Jamie Bond,1.0,1.0,1991
1992.0,Paul Abbott,26.0,13.0,1992–1993
1992.0,Jeremy Guard,68.0,17.0,1992–1995
1992.0,Paul Morrish,20.0,1.0,1992–1993
1992.0,Marcus Seecamp,51.0,10.0,1992–1994
1992.0,Gavin Exell,5.0,2.0,1992
1992.0,Dale Fleming,13.0,15.0,1992–1993
1992.0,Chris Barrett,4.0,4.0,1992
1992.0,Brad Boyd,70.0,49.0,1992–1996
1992.0,Peter Sartori,23.0,19.0,1992–1994
1992.0,David Johnston,25.0,1.0,1992–1994
1992.0,Ashley Matthews,6.0,1.0,1992–1993
1993.0,Michael Dunstan,38.0,30.0,1993–1994
1993.0,Mark Zanotti,57.0,8.0,1993–1995
1993.0,James Manson,47.0,20.0,1993–1995
1993.0,John McCarthy,71.0,77.0,1993–1996
1993.0,Danny Morton,30.0,17.0,1993–1996
1993.0,Simon Hawking,60.0,30.0,1993–1996
1993.0,Anthony McGregor,41.0,11.0,1993–1996
1993.0,Darren Payne,6.0,1.0,1993–1995
1993.0,Tom Kavanagh,8.0,1.0,1993–1994
1994.0,David Bain,12.0,4.0,1994
1994.0,Trent Cummings,27.0,18.0,1994–1996
1994.0,Jeff Hogg,40.0,41.0,1994–1996
1994.0,Kieran Sporn,12.0,6.0,1994
1994.0,Steven Stretch,25.0,7.0,1994–1995
1994.0,John Barker,47.0,12.0,1994–1996
1994.0,Chris Johnson,59.0,67.0,1994–1996
1994.0,Jarrod Molloy,59.0,54.0,1994–1996
1994.0,Matthew Dent,47.0,9.0,1994–1996
1994.0,Nick Mitchell,9.0,2.0,1994–1995
1994.0,Rowan Warfe,26.0,1.0,1994–1996
1994.0,Brett Cook,25.0,7.0,1994–1996
1994.0,Nigel Palfreyman,1.0,0.0,1994
1995.0,Simon Atkins,41.0,13.0,1995–1996
1995.0,Brett Chandler,28.0,2.0,1995–1996
1995.0,Doug Hawkins,21.0,11.0,1995
1995.0,Wayne Lamb,19.0,13.0,1995–1996
1995.0,Matthew Manfield,5.0,0.0,1995–1996
1995.0,Martin Pike,36.0,15.0,1995–1996
1995.0,Andrew Cavedon,5.0,7.0,1995
1995.0,Darren Holmes,21.0,3.0,1995–1996
1995.0,Peter Bird,15.0,7.0,1995–1996
1995.0,Adam McCarthy,15.0,9.0,1995–1996
1995.0,Anthony Mellington,24.0,24.0,1995–1996
1995.0,John Rombotis,26.0,16.0,1995–1996
1995.0,Jeff Bruce,7.0,3.0,1995
1995.0,Peter Doyle,12.0,2.0,1995–1996
1995.0,Marty Warry,8.0,11.0,1995–1996
1996.0,Scott Bamford,22.0,6.0,1996
1996.0,Brad Cassidy,14.0,10.0,1996
1996.0,Mick Dwyer,8.0,3.0,1996
1996.0,Matthew Primus,20.0,5.0,1996
1996.0,Nick Carter,17.0,4.0,1996
1996.0,Shane Clayton,13.0,1.0,1996
1996.0,Brent Frewen,2.0,0.0,1996
1996.0,Jason Ramsey,2.0,0.0,1996
1996.0,Robert McMahon,2.0,1.0,1996
