Rank,Player,County,Tally,Total,Opposition
1.0,Pat Fox,Tipperary,1-10,13.0,Kerry
1.0,John Fenton,Cork,0-13,13.0,Tipperary
3.0,John Fenton,Cork,0-12,12.0,Tipperary
4.0,Christy Heffernan,Kilkenny,2-5,11.0,Westmeath
4.0,Harry Ryan,Kilkenny,2-5,11.0,Antrim
4.0,John Fenton,Cork,1-8,11.0,Limerick
4.0,Pat Fox,Tipperary,0-11,11.0,Cork
8.0,Nicky English,Tipperary,2-4,10.0,Clare
8.0,Paddy Kelly,Limerick,0-10,10.0,Waterford
10.0,Ger Fennelly,Kilkenny,0-9,9.0,Offaly
10.0,Pat Fox,Tipperary,0-9,9.0,Cork
10.0,John Houlihan,Wexford,0-9,9.0,Kilkenny
