Round,Pick,Player,Nationality,College/junior/club team
1.0,3.0,Ralph Klassen,Canada,Saskatoon Blades ( WCHL )
2.0,21.0,Dennis Maruk,Canada,London Knights ( OMJHL )
3.0,39.0,John Tweedle,Canada,Lake Superior State Lakers ( CCHA )
4.0,57.0,Greg Smith,Canada,Colorado College Tigers ( WCHA )
5.0,75.0,Doug Young,Canada,Michigan Tech Huskies (WCHA)
6.0,93.0,Larry Hendrick,Canada,Calgary Centennials (WCHL)
7.0,111.0,Rick Shinske,Canada,New Westminster Bruins (WCHL)
8.0,129.0,Doug Schoenfeld,Canada,Cambridge Hornets ( OHA Sr. A )
9.0,146.0,Jim Weaver,Canada,Kingston Canadians (OMJHL)
10.0,162.0,Greg Agar,Canada,Merritt Centennials ( BCJHL )
